k,qpar_fid,qper_fid,qpar_ap,qper_ap,P0_fid_AB,P0_AP_AB,delta_P0_AP_minus_fid_AB,P2_fid_AB,P2_AP_AB,delta_P2_AP_minus_fid_AB,P4_fid_AB,P4_AP_AB,delta_P4_AP_minus_fid_AB
0.12680555555555556,1,1,1.02,0.97999999999999998,7780.0112914265119,7835.1089876574333,55.097696230921429,4581.535298816163,4805.7028084009826,224.16750958481953,476.56924457273317,660.98093137655701,184.41168680382384
0.12881944444444443,1,1,1.02,0.97999999999999998,7661.8091533312418,7713.0825017692332,51.273348437991444,4517.4949037718725,4748.6119724777873,231.11706870591479,477.07962126180814,659.00476271706543,181.92514145525729
0.13083333333333333,1,1,1.02,0.97999999999999998,7540.691203943079,7588.0528036813112,47.361599738232144,4454.4399249406079,4693.4882440254341,239.04831908482629,477.90493017320068,657.888757181242,179.98382700804132
0.13284722222222223,1,1,1.02,0.97999999999999998,7416.5316145480829,7459.8195613860771,43.287946837994241,4392.5179584621656,4639.6939574508888,247.17599898872322,479.04817362774133,657.06702737841533,178.018853750674
0.1348611111111111,1,1,1.02,0.97999999999999998,7289.3678813959777,7328.4440421812524,39.076160785274624,4331.9080461635613,4587.1947753538416,255.28672919028031,480.50581950575031,656.51259278832845,176.00677328257814
0.136875,1,1,1.02,0.97999999999999998,7159.2838754400727,7194.3693824840448,35.085507043972029,4272.7860246873752,4535.458064112443,262.67203942506785,482.270942938247,656.55623269471062,174.28528975646361
0.1388888888888889,1,1,1.02,0.97999999999999998,7026.9375624183385,7058.3905235979464,31.452961179607883,4215.3836139617943,4483.9214740044154,268.53786004262111,484.31980198941142,656.92659287554375,172.60679088613233
0.14090277777777779,1,1,1.02,0.97999999999999998,6893.3349353474969,6921.494217272043,28.159281924546121,4159.9526626210936,4432.5466706876141,272.59400806652047,486.61812659746647,657.3559109874052,170.73778438993872
0.14291666666666666,1,1,1.02,0.97999999999999998,6759.4685587178719,6784.7383533050661,25.269794587194156,4106.7178605407826,4381.4458799587628,274.72801941798025,489.13048315167453,657.87397374805073,168.7434905963762
0.14493055555555556,1,1,1.02,0.97999999999999998,6626.3349044740789,6649.2281585088149,22.893254034735946,4055.8499638004687,4330.6194215026635,274.76945770219481,491.81827051044866,658.52787758839872,166.70960707795007
0.14694444444444446,1,1,1.02,0.97999999999999998,6494.9934515505402,6516.0781935547548,21.084742004214604,4007.417436854123,4280.0508800978059,272.6334432436829,494.63583538963587,659.29731785716376,164.66148246752789
0.14895833333333333,1,1,1.02,0.97999999999999998,6366.5041537536435,6386.3820106424573,19.877856888813767,3961.450650867499,4229.7400489092443,268.28939804174524,497.53709266127112,660.13153782665063,162.59444516537951
0.15097222222222223,1,1,1.02,0.97999999999999998,6241.9057960348564,6261.0740245063971,19.168228471540715,3917.9528488464948,4179.9334339713896,261.98058512489479,500.47687273897043,660.82014432733058,160.34327158836015
0.15298611111111113,1,1,1.02,0.97999999999999998,6122.0238478451192,6140.8592523655952,18.835404520476004,3876.8332986294381,4131.0114581720391,254.17815954260095,503.40952979837709,661.39442820585373,157.98489840747663
0.155,1,1,1.02,0.97999999999999998,6007.3200085147637,6026.2840509566995,18.964042441935817,3837.8644148208468,4083.0684441476383,245.20402932679144,506.28807662731413,662.11209986084896,155.82402323353483
0.1570138888888889,1,1,1.02,0.97999999999999998,5898.2119404442592,5917.7855735536359,19.573633109376715,3800.7964431077771,4035.9249773334659,235.12853422568878,509.06662090573866,662.96416200450676,153.8975410987681
0.1590277777777778,1,1,1.02,0.97999999999999998,5795.1066777933456,5815.5839452963519,20.47726750300626,3765.3681396701377,3989.7178050008974,224.34966533075976,511.70063120603822,663.63785412168966,151.93722291565143
0.16104166666666667,1,1,1.02,0.97999999999999998,5698.1838443566803,5719.6449130116325,21.461068654952214,3731.3085556428896,3944.7716927827437,213.4631371398541,514.15694312069297,664.09777122793548,149.94082810724251
0.16305555555555556,1,1,1.02,0.97999999999999998,5607.2177409970172,5629.7871229462853,22.569381949268063,3698.3499571180678,3901.1611084789897,202.81115136092194,516.42230844095889,664.58108894699342,148.15878050603453
0.16506944444444446,1,1,1.02,0.97999999999999998,5521.9432920314466,5545.7491269652,23.805834933753431,3666.2316782174667,3858.6999954652006,192.46831724773392,518.48650693521267,665.12874168297719,146.64223474776452
