k,ell,group,variation,parameter_index,baseline_value,delta,Pell_baseline_AB,Pell_varied_AB,delta_Pell_AB,k_delta_Pell_AB
0.01201388888888889,2,eft,alpha0_ab,0,0.40000000000000002,1,23920.531433096512,23920.530652458794,-0.0007806377179804258,-9.3784948062926161e-06
0.014027777777777778,2,eft,alpha0_ab,0,0.40000000000000002,1,24713.471640471122,24713.47008142055,-0.0015590505718137138,-2.1870014965720153e-05
0.016041666666666666,2,eft,alpha0_ab,0,0.40000000000000002,1,24995.195511899707,24995.192827598632,-0.0026843010746233631,-4.3060663072083112e-05
0.018055555555555554,2,eft,alpha0_ab,0,0.40000000000000002,1,24866.712030895986,24866.707948926469,-0.0040819695168465842,-7.3702227387507769e-05
0.020069444444444445,2,eft,alpha0_ab,0,0.40000000000000002,1,24416.659746769139,24416.654198894394,-0.005547874745388981,-0.00011134276398732053
0.022083333333333333,2,eft,alpha0_ab,0,0.40000000000000002,1,23722.103297916627,23722.096556436609,-0.0067414800178084988,-0.00014887435039327102
0.024097222222222221,2,eft,alpha0_ab,0,0.40000000000000002,1,22853.197149190146,22853.18994062001,-0.0072085701358446386,-0.00017370651646792288
0.026111111111111113,2,eft,alpha0_ab,0,0.40000000000000002,1,21870.049619898102,21870.043190555483,-0.0064293426185031421,-0.00016787727948313762
0.028124999999999997,2,eft,alpha0_ab,0,0.40000000000000002,1,20821.016366970951,20821.012479638215,-0.0038873327357578091,-0.00010933123319318837
0.030138888888888889,2,eft,alpha0_ab,0,0.40000000000000002,1,19752.440748276353,19752.441596088913,0.00084781256009591743,2.5552128547335288e-05
0.03215277777777778,2,eft,alpha0_ab,0,0.40000000000000002,1,18699.514578351133,18699.522625005604,0.008046654471399961,0.00025872229307348488
0.034166666666666665,2,eft,alpha0_ab,0,0.40000000000000002,1,17684.135013329054,17684.152763186132,0.017749857077433262,0.00060645345014563644
0.036180555555555556,2,eft,alpha0_ab,0,0.40000000000000002,1,16724.904374432801,16724.934096438174,0.029722005372605054,0.0010753586666060579
0.038194444444444448,2,eft,alpha0_ab,0,0.40000000000000002,1,15837.530580307242,15837.574022092749,0.043441785506729502,0.001659234863104252
0.040208333333333332,2,eft,alpha0_ab,0,0.40000000000000002,1,15028.971231937339,15029.029335559408,0.058103622068301775,0.0023362498039963004
0.042222222222222223,2,eft,alpha0_ab,0,0.40000000000000002,1,14300.090524640027,14300.163167157294,0.072642517267013318,0.0030671285068294514
0.044236111111111115,2,eft,alpha0_ab,0,0.40000000000000002,1,13648.353178967731,13648.438967196327,0.08578822859635693,0.0037949376122138451
0.046249999999999999,2,eft,alpha0_ab,0,0.40000000000000002,1,13069.26132902377,13069.357471860983,0.096142837213847088,0.0044466062211404277
0.048263888888888891,2,eft,alpha0_ab,0,0.40000000000000002,1,12557.541584782964,12557.643862201367,0.10227741840208182,0.0049363059576004774
0.050277777777777775,2,eft,alpha0_ab,0,0.40000000000000002,1,12106.312725618023,12106.415550549254,0.10282493123122549,0.0051698090424588368
0.052291666666666667,2,eft,alpha0_ab,0,0.40000000000000002,1,11706.306247292496,11706.402820673793,0.096573381297275773,0.0050499830636700459
0.054305555555555558,2,eft,alpha0_ab,0,0.40000000000000002,1,11348.975364193488,11349.057972083981,0.082607890493818559,0.0044860673865393134
0.056319444444444443,2,eft,alpha0_ab,0,0.40000000000000002,1,11025.685789254338,11025.746204396513,0.060415142175770598,0.0034025472433715244
0.058333333333333334,2,eft,alpha0_ab,0,0.40000000000000002,1,10728.086325528253,10728.116317021226,0.029991492972840206,0.0017495037567490121
0.060347222222222226,2,eft,alpha0_ab,0,0.40000000000000002,1,10448.800217265511,10448.792153466755,-0.0080637987557565793,-0.0004866278554689214
0.06236111111111111,2,eft,alpha0_ab,0,0.40000000000000002,1,10181.378214704237,10181.325691066289,-0.052523637947160751,-0.0032754324219826632
0.064375000000000002,2,eft,alpha0_ab,0,0.40000000000000002,1,9920.3591103592662,9920.2576108182875,-0.1014995409786934,-0.0065340329505033882
0.066388888888888886,2,eft,alpha0_ab,0,0.40000000000000002,1,9661.5694269499782,9661.4169010973401,-0.15252585263806395,-0.010126021883471467
0.068402777777777771,2,eft,alpha0_ab,0,0.40000000000000002,1,9402.1062548971058,9401.9035711665219,-0.20268373058388534,-0.013864130182300488
0.070416666666666669,2,eft,alpha0_ab,0,0.40000000000000002,1,9140.1702328568426,9139.9215359879527,-0.24869686888996512,-0.017512404517668379
0.072430555555555554,2,eft,alpha0_ab,0,0.40000000000000002,1,8875.2644005176062,8874.9770965641401,-0.28730395346610749,-0.020809584962857647
0.074444444444444438,2,eft,alpha0_ab,0,0.40000000000000002,1,8607.6645904414945,8607.3493211524528,-0.31526928904168017,-0.023470047073102854
0.076458333333333323,2,eft,alpha0_ab,0,0.40000000000000002,1,8338.6891442425804,8338.3592215489825,-0.32992269359783677,-0.025225339281334601
0.078472222222222221,2,eft,alpha0_ab,0,0.40000000000000002,1,8070.0655054307044,8069.7364337856461,-0.32907164505832043,-0.025822983258048757
0.080486111111111105,2,eft,alpha0_ab,0,0.40000000000000002,1,7804.0863936292562,7803.7748796007718,-0.31151402848445287,-0.025072552709269502
0.08249999999999999,2,eft,alpha0_ab,0,0.40000000000000002,1,7543.1233393907605,7542.8464465375191,-0.27689285324140656,-0.022843660392416039
