k,P0_IR_on_AB,P0_IR_off_AB,delta_P0_AB,P2_IR_on_AB,P2_IR_off_AB,delta_P2_AB,P4_IR_on_AB,P4_IR_off_AB,delta_P4_AB
0.26173611111111111,3419.5216668956914,3351.7450656966503,67.776601199041124,2798.659804432456,2683.2615125782531,115.39829185420285,573.02469751959711,549.27746307597158,23.74723444362553
0.26374999999999998,3393.9097447091644,3321.3629577827114,72.546786926453024,2787.6260814360785,2664.2245997906161,123.40148164546235,573.23861594435868,547.43155286666206,25.807063077696625
0.26576388888888891,3368.6316913848746,3293.6437571641632,74.987934220711395,2776.8651207199791,2649.5190936553072,127.34602706467194,573.3803185696753,546.42249578826693,26.957822781408368
0.26777777777777778,3343.6952433928604,3268.8148752927827,74.880368100077703,2766.3877448729959,2639.5034326812684,126.88431219172753,573.45481396117373,546.32886581742878,27.125948143744949
0.26979166666666665,3319.1136512149651,3246.9124684151247,72.201182799840353,2756.1968866813663,2634.1960492097678,122.00083747159852,573.46993395806385,547.15838718490022,26.311546773163627
0.27180555555555558,3294.9103402966357,3227.6421537169526,67.268186579683061,2746.2812596110907,2633.0254996153672,113.25575999572357,573.43786101990997,548.79573240917193,24.642128610738041
0.27381944444444445,3271.1096134029176,3210.6733535385101,60.436259864407475,2736.6288290602238,2635.3531739173454,101.27565514287835,573.3713316679673,551.11140971896214,22.259921949005161
0.27583333333333332,3247.735479308255,3195.6713365135674,52.064142794687541,2727.2283267124499,2640.5302255787324,86.6981011337175,573.28327242997284,553.97362406861032,19.30964836136252
0.27784722222222225,3224.8115094687728,3182.2971395381687,42.514369930604062,2718.0693132893784,2647.8973792027355,70.171934086642977,573.18683797863639,557.24823386861067,15.938604110025722
0.27986111111111112,3202.3607131025065,3170.2074897393345,32.153223363171946,2709.1422536678729,2656.7847382290502,52.357515438822702,573.09544164804129,560.79870771611797,12.296733931923313
0.28187499999999999,3180.4053678066675,3159.0547792547568,21.350588551910732,2700.4385589277963,2666.5118194567522,33.926739471044129,573.02275745276791,564.48613237259929,8.5366250801686192
0.28388888888888891,3158.9508712465472,3148.5010026588552,10.449868587691981,2691.9393305595145,2676.4471907710422,15.492139788472286,572.97722803926183,568.18268648787603,4.7945415513858052
0.28590277777777778,3137.9648510459365,3138.23770404586,-0.27285299992354339,2683.599598429465,2686.0914978716723,-2.4918994422073411,572.95441283727428,571.79039560155229,1.1640172357219853
0.28791666666666665,3117.4101805672572,3127.9592981777323,-10.54911761047515,2675.3703456876469,2694.9609000780192,-19.59055439037229,572.94772771412056,575.21479422766959,-2.2670665135490253
0.28993055555555558,3097.2503068108463,3117.3584993687191,-20.108192557872826,2667.2022042339222,2702.5673660587481,-35.365161824825918,572.95028488941011,578.36047396299364,-5.4101890735835241
0.29194444444444445,3077.4491539465116,3106.1262950822247,-28.6771411357131,2659.0454381596774,2708.4186087628368,-49.373170603159451,572.95492344550189,581.13106884611523,-8.1761454006133363
0.29395833333333332,3057.9710349496213,3093.9519195276794,-35.980884578058067,2650.8499343540052,2712.0180203505943,-61.16808599658907,572.95423697595561,583.42924071656762,-10.47500374061201
0.29597222222222225,3038.7805709089298,3080.5228272573868,-41.742256348456976,2642.5651992856779,2712.8646071246385,-70.299407838960633,572.94059834635777,585.15666457392763,-12.216066227569854
0.29798611111111112,3019.8441264740777,3065.5510981381813,-45.706971664103548,2634.144679699084,2710.4990428681967,-76.35436316911273,572.90660005708094,586.22328991937263,-13.316689862291696
0.29999999999999999,3001.1444588806617,3049.0303894897879,-47.885930609126262,2625.5877628509243,2704.9526117576179,-79.364848906693624,572.84917573319808,586.63768781384192,-13.788512080643841
