k,mu,case,P_AA,P_AB,P_BB,geometric_mean,r_minus_one,valid_geometric_mean,construction
0.25166666666666665,0.5,linear_deterministic,2949.9971613414737,2064.9447100453658,1445.4239859693096,2064.9447100453663,-2.2204460492503131e-16,1,Linear deterministic
0.25368055555555552,0.5,linear_deterministic,2916.3992112799137,2041.4267443704073,1428.9618295438408,2041.4267443704073,0,1,Linear deterministic
0.25569444444444445,0.5,linear_deterministic,2882.3120204371053,2017.5663193115918,1412.2599579636137,2017.566319311592,-1.1102230246251565e-16,1,Linear deterministic
0.25770833333333332,0.5,linear_deterministic,2847.6117962802414,1993.2767823289205,1395.2577160136636,1993.2767823289207,-1.1102230246251565e-16,1,Linear deterministic
0.25972222222222219,0.5,linear_deterministic,2812.2371829370818,1968.5151854173807,1377.9250408643511,1968.515185417381,-1.1102230246251565e-16,1,Linear deterministic
0.26173611111111111,0.5,linear_deterministic,2776.1268245393494,1943.2385805753304,1360.2318696888126,1943.2385805753306,-1.1102230246251565e-16,1,Linear deterministic
0.26374999999999998,0.5,linear_deterministic,2739.2193652226006,1917.4040198043847,1342.1481396628669,1917.4040198043845,2.2204460492503131e-16,1,Linear deterministic
0.26576388888888891,0.5,linear_deterministic,2701.4534491260993,1890.9685551093094,1323.6437879649279,1890.9685551093096,-1.1102230246251565e-16,1,Linear deterministic
0.26777777777777778,0.5,linear_deterministic,2662.7691635480851,1863.8902486805921,1304.6894588855198,1863.8902486805921,0,1,Linear deterministic
0.26979166666666665,0.5,linear_deterministic,2623.2214651846389,1836.2075692098488,1285.3120798118441,1836.2075692098488,0,1,Linear deterministic
0.27180555555555558,0.5,linear_deterministic,2583.0618616151851,1808.0965674506399,1265.6348830850498,1808.0965674506397,2.2204460492503131e-16,1,Linear deterministic
0.27381944444444445,0.5,linear_deterministic,2542.5611323001608,1779.7467841222726,1245.7905437766419,1779.7467841222726,0,1,Linear deterministic
0.27583333333333332,0.5,linear_deterministic,2501.9900566844531,1751.3477599308369,1225.9117369472394,1751.3477599308369,0,1,Linear deterministic
0.27784722222222225,0.5,linear_deterministic,2461.6194141981191,1723.0890355698164,1206.1311376470815,1723.0890355698164,0,1,Linear deterministic
0.27986111111111112,0.5,linear_deterministic,2421.7199842570681,1695.1601517206693,1186.581420916503,1695.1601517206695,-1.1102230246251565e-16,1,Linear deterministic
0.28187499999999999,0.5,linear_deterministic,2382.5623603765016,1667.7505189356996,1167.3951707063686,1667.7505189356993,2.2204460492503131e-16,1,Linear deterministic
0.28388888888888891,0.5,linear_deterministic,2344.3683238732415,1641.015380110317,1148.6810542250842,1641.0153801103172,-1.1102230246251565e-16,1,Linear deterministic
0.28590277777777778,0.5,linear_deterministic,2307.245723010135,1615.0302270640418,1130.491914371217,1615.0302270640418,0,1,Linear deterministic
0.28791666666666665,0.5,linear_deterministic,2271.2861797742848,1589.8591935167356,1112.8726435789247,1589.8591935167358,-1.1102230246251565e-16,1,Linear deterministic
0.28993055555555558,0.5,linear_deterministic,2236.5813161502701,1565.5664131861147,1095.868134280596,1565.5664131861147,0,1,Linear deterministic
0.29194444444444445,0.5,linear_deterministic,2203.2227541202792,1542.2160197878632,1079.5232789069473,1542.2160197878632,0,1,Linear deterministic
0.29395833333333332,0.5,linear_deterministic,2171.3021156642403,1519.872147035745,1063.8829698871139,1519.872147035745,0,1,Linear deterministic
0.29597222222222225,0.5,linear_deterministic,2140.9110227599467,1498.5989286417084,1048.9920996487347,1498.5989286417084,0,1,Linear deterministic
0.29798611111111112,0.5,linear_deterministic,2112.127330276986,1478.4508615911184,1034.888815085249,1478.4508615911184,0,1,Linear deterministic
0.29999999999999999,0.5,linear_deterministic,2084.8817262272682,1459.3794287357346,1021.5391550632623,1459.3794287357346,0,1,Linear deterministic
0.01,0.5,matter_loops_linear_bias,48879.280334971481,34211.62717079337,23945.438171636208,34211.632307376582,-1.5014142451530432e-07,1,"Matter/RSD loops, linear bias"
0.01201388888888889,0.5,matter_loops_linear_bias,52071.38140183271,36443.961980470194,25506.582813021396,36443.970721015954,-2.3983516583836462e-07,1,"Matter/RSD loops, linear bias"
0.014027777777777778,0.5,matter_loops_linear_bias,53916.342022090699,37733.034141840828,26407.260192581158,37733.047483731636,-3.5358635730453614e-07,1,"Matter/RSD loops, linear bias"
0.016041666666666666,0.5,matter_loops_linear_bias,54662.92693316091,38253.06263851175,26769.48205471443,38253.081465359326,-4.9216551589736923e-07,1,"Matter/RSD loops, linear bias"
0.018055555555555554,0.5,matter_loops_linear_bias,54523.593522790907,38152.851482389058,26697.46971752337,38152.876522816252,-6.5631819867739694e-07,1,"Matter/RSD loops, linear bias"
0.020069444444444445,0.5,matter_loops_linear_bias,53684.490670898544,37562.782596466102,26282.54470803287,37562.814407148253,-8.4686631318664496e-07,1,"Matter/RSD loops, linear bias"
0.022083333333333333,0.5,matter_loops_linear_bias,52307.480421291482,36596.227078345437,25604.113937888542,36596.266046013785,-1.0647990235090887e-06,1,"Matter/RSD loops, linear bias"
0.024097222222222221,0.5,matter_loops_linear_bias,50540.650631521115,35356.898386061919,24734.812984373162,35356.944741863881,-1.3110805331395525e-06,1,"Matter/RSD loops, linear bias"
0.026111111111111113,0.5,matter_loops_linear_bias,48511.531535017115,33934.104360083744,23737.182818479308,33934.158201598657,-1.5866465463698631e-06,1,"Matter/RSD loops, linear bias"
0.028124999999999997,0.5,matter_loops_linear_bias,46323.224254835586,32400.039798524151,22661.776445810727,32400.101115771864,-1.8925017392090737e-06,1,"Matter/RSD loops, linear bias"
0.030138888888888889,0.5,matter_loops_linear_bias,44076.192477716781,30825.031593393625,21557.824179878589,30825.100291046994,-2.2286270837668098e-06,1,"Matter/RSD loops, linear bias"
0.03215277777777778,0.5,matter_loops_linear_bias,41847.706261459694,29263.159969240987,20463.175909750458,29263.235888189389,-2.5943456387622632e-06,1,"Matter/RSD loops, linear bias"
0.034166666666666665,0.5,matter_loops_linear_bias,39686.452442281756,27748.494749257839,19401.672769471163,27748.577687267687,-2.9889103068114764e-06,1,"Matter/RSD loops, linear bias"
0.036180555555555556,0.5,matter_loops_linear_bias,37634.920281324339,26310.755863484577,18394.102878393463,26310.845586465224,-3.4101139149145254e-06,1,"Matter/RSD loops, linear bias"
0.038194444444444448,0.5,matter_loops_linear_bias,35730.278137257395,24975.927660281821,17458.631802456741,24976.023906894123,-3.8535602248090939e-06,1,"Matter/RSD loops, linear bias"
0.040208333333333332,0.5,matter_loops_linear_bias,33990.53731369954,23756.587383420363,16604.042131051701,23756.689870723829,-4.3140397093521798e-06,1,"Matter/RSD loops, linear bias"
0.042222222222222223,0.5,matter_loops_linear_bias,32420.135258127568,22655.814739838726,15832.471099135364,22655.923166014756,-4.7857761185099434e-06,1,"Matter/RSD loops, linear bias"
0.044236111111111115,0.5,matter_loops_linear_bias,31015.83120351407,21671.317769990826,15142.297936677338,21671.431813272138,-5.2623787064609573e-06,1,"Matter/RSD loops, linear bias"
0.046249999999999999,0.5,matter_loops_linear_bias,29769.831815218477,20797.620658170788,14529.67523231735,20797.739973271924,-5.7369262856932224e-06,1,"Matter/RSD loops, linear bias"
0.048263888888888891,0.5,matter_loops_linear_bias,28672.512898428155,20027.967613072633,13989.860726725563,20028.091824591083,-6.2018648375739005e-06,1,"Matter/RSD loops, linear bias"
0.050277777777777775,0.5,matter_loops_linear_bias,27710.195408372525,19352.77081873078,13516.134196980645,19352.899518266506,-6.6501423006126714e-06,1,"Matter/RSD loops, linear bias"
0.052291666666666667,0.5,matter_loops_linear_bias,26862.956155334054,18758.082841228766,13098.731579461615,18758.215589697411,-7.0768175154389823e-06,1,"Matter/RSD loops, linear bias"
0.054305555555555558,0.5,matter_loops_linear_bias,26112.114429502257,18230.829652357086,12728.502756668957,18230.965978202436,-7.4777082855748134e-06,1,"Matter/RSD loops, linear bias"
0.056319444444444443,0.5,matter_loops_linear_bias,25438.125783555577,17757.339898241444,12395.884580291662,17757.479301744839,-7.8504105806009861e-06,1,"Matter/RSD loops, linear bias"
0.058333333333333334,0.5,matter_loops_linear_bias,24821.476623266437,17323.969968925892,12091.337620425318,17324.111927871196,-8.1942985530325529e-06,1,"Matter/RSD loops, linear bias"
0.060347222222222226,0.5,matter_loops_linear_bias,24244.410994972124,16918.310684423344,11806.189401251402,16918.4546613579,-8.510052332710849e-06,1,"Matter/RSD loops, linear bias"
0.06236111111111111,0.5,matter_loops_linear_bias,23690.829617990104,16529.116685476209,11532.585024106125,16529.262139039434,-8.7997614172108385e-06,1,"Matter/RSD loops, linear bias"
0.064375000000000002,0.5,matter_loops_linear_bias,23146.579883393591,16146.507503947432,11263.626568548305,16146.653899356912,-9.0666097379843436e-06,1,"Matter/RSD loops, linear bias"
