k,P0_single,P0_geometric,P2_single,P2_geometric,P4_single,P4_geometric,fractional_difference_P0,fractional_difference_P2,fractional_difference_P4
0.20534722222222224,4189.9354554749279,4165.4219189508385,2603.0909463951743,2558.676970891278,325.5888915673512,332.045491772986,-0.0058505761686753312,-0.017062014512171375,0.019830529765783454
0.20736111111111111,4135.6040838834169,4110.8277267454732,2571.1134825183949,2526.86721753336,321.33745703404873,328.79697954401104,-0.0059909886525400177,-0.017208989523751363,0.023213983762782768
0.20937500000000001,4081.7654911254785,4056.7424566726286,2539.575737732273,2495.568471135583,317.06725760670679,325.57312308583414,-0.0061304439236538029,-0.017328589946282325,0.026826691419768442
0.2113888888888889,4028.5902201671925,4003.3416883459327,2508.4410500988138,2464.749003274856,312.78178445712547,322.37002679436819,-0.0062673368204254716,-0.017418008217588616,0.030654733791113803
0.21340277777777777,3976.2436689515303,3950.7952529535796,2477.6643868175424,2434.3672926780655,308.48299433253521,319.18227807290521,-0.006400114811037463,-0.017474963263725267,0.034683544755911219
0.21541666666666667,3924.8850431434626,3899.2662115256035,2447.1919444531195,2404.3717464930064,304.17174152871746,316.00346713755278,-0.0065272820315116341,-0.017497686708707369,0.038898174923715771
0.21743055555555557,3874.6659425931894,3848.9094566647941,2416.961379735113,2374.7010316026535,299.8482600545309,312.82675575437008,-0.0066474081404698498,-0.017484908317852821,0.043283545142062507
0.21944444444444444,3825.6891219700424,3799.8296507465693,2386.9291837624905,2345.3104833070556,295.51410160039245,309.64772578700581,-0.006759428275279384,-0.017436085133381216,0.047827241103118277
0.22145833333333334,3777.9848344102998,3752.0571206559343,2357.0917622305942,2316.1928285100412,291.17269668515542,306.46561940695176,-0.0068628422004802549,-0.017351438911249264,0.052521829470613304
0.22347222222222224,3731.576153170844,3705.6145965274536,2327.4461015058114,2287.3408470979657,286.82657758394657,303.27936867951735,-0.0069572629842566654,-0.017231442817042412,0.05736145943712443
0.22548611111111111,3686.4852038072086,3660.5236119248425,2297.9854205084816,2258.7432997547908,282.47733276220947,300.08744955652321,-0.0070423697497969864,-0.017076749227159002,0.062341698790883179
