k,variation,tracer,parameter_index,baseline_value,delta,P0_baseline_AB,P0_varied_AB,fractional_response
0.11673611111111111,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,8374.4015170252314,8555.8355985507314,0.021665319146286804
0.11874999999999999,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,8248.9191830401505,8432.8125299782678,0.022293023226146229
0.12076388888888888,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,8129.0377739333462,8315.3632928612551,0.02292098082326326
0.12277777777777778,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,8012.2116942904086,8200.9427825013245,0.023555429563276241
0.12479166666666666,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,7896.3513444439322,8087.4598438177936,0.024202127164507446
0.12680555555555556,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,7780.0112914265119,7973.4647536308166,0.024865447485595344
0.12881944444444443,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,7661.8091533312418,7857.5709381315646,0.025550334246476045
0.13083333333333333,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,7540.691203943079,7738.7201288040942,0.026261375715460208
0.13284722222222223,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,7416.5316145480829,7616.7803598714327,0.027000322486396049
0.1348611111111111,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,7289.3678813959777,7491.7831803010667,0.027768566794618234
0.136875,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,7159.2838754400727,7363.8070932594346,0.028567552478395066
0.1388888888888889,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,7026.9375624183385,7233.5053810564696,0.0293965638378378
0.14090277777777779,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,6893.3349353474969,7101.8799486963553,0.030253138039105825
0.14291666666666666,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,6759.4685587178719,6969.919766125854,0.031134283054924106
0.14493055555555556,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,6626.3349044740789,6838.6187648870764,0.032036391681571075
0.14694444444444446,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,6494.9934515505402,6709.0361008269065,0.032955021567461044
0.14895833333333333,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,6366.5041537536435,6582.2319819071618,0.033884816995890389
0.15097222222222223,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,6241.9057960348564,6459.2456383077233,0.034819468504463991
0.15298611111111113,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,6122.0238478451192,6340.9042211766646,0.035752943597008147
0.155,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,6007.3200085147637,6227.6730756013294,0.036680760601106269
0.1570138888888889,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5898.2119404442592,6119.973580515094,0.037598113175657012
0.1590277777777778,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5795.1066777933456,6018.2163467434348,0.038499665554913409
0.16104166666666667,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5698.1838443566803,5922.5850009069691,0.039381171734662317
0.16305555555555556,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5607.2177409970172,5832.8586785881043,0.040241158452135654
0.16506944444444446,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5521.9432920314466,5748.7769511388669,0.041078592645954419
0.16708333333333333,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5442.0998796182066,5670.0835489054043,0.041892591891053647
0.16909722222222223,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5367.3749404502341,5596.4699068421151,0.042682869919399305
0.1711111111111111,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5297.2674530839213,5527.4385209770644,0.043450905571917831
0.173125,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5231.2441796428566,5462.4593779223942,0.044198892336033711
0.1751388888888889,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5168.7833712644679,5401.0137168900219,0.044929401939463029
0.17715277777777777,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5109.3771854689658,5342.5963996062383,0.045645331254961244
0.17916666666666667,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,5052.5480906483817,5286.7315632480859,0.046349578153080363
0.18118055555555557,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,4997.8406339338644,5232.9646856934414,0.04704512788246068
