k,mu,P_AA,P_AB,P_BB,geometric_mean,r_minus_one,valid_geometric_mean
0.11673611111111111,1,19293.29505513575,13809.198365519778,9908.3058814452579,13826.202257570958,-0.0012298309929517082,1
0.11874999999999999,0,9376.9049332160685,5992.6835021717134,3824.9121213973108,5988.8093424526705,0.00064689982557641912,1
0.11874999999999999,0.5,11324.965697620815,7515.3208547082695,4992.6781096055238,7519.4353731211031,-0.00054718449041279982,1
0.11874999999999999,1,19044.186351862416,13611.805563715468,9752.2564163843399,13628.051531483483,-0.00119209761795247,1
0.12076388888888888,0,9252.5471360812262,5907.2427267203357,3766.0901171611672,5903.0438188923654,0.00071131232577537062,1
0.12076388888888888,0.5,11171.222615691471,7404.5758057053235,4912.9049798012065,7408.3166251921557,-0.00050494865110262133,1
0.12076388888888888,1,18805.629430646848,13422.74832992232,9602.7543851065893,13438.22311467679,-0.0011515499201355528,1
0.12277777777777778,0,9131.3344365000648,5823.9522666175098,3708.7293157693462,5819.419878024094,0.00077883855924043566,1
0.12277777777777778,0.5,11021.295663674369,7296.5928152410506,4835.1154314149981,7299.9477215675415,-0.0004595795003543568,1
0.12277777777777778,1,18573.401954386612,13238.84192342003,9457.3973756894866,13253.529450717719,-0.0011081974316580201,1
0.12479166666666666,0,9010.4971009542332,5740.9803664101382,3651.6187916701374,5736.1049969586311,0.00084994424859585749,1
0.12479166666666666,0.5,10872.219743076999,7189.327411776062,4757.8997987043313,7192.2828175103978,-0.00041091344838950494,1
0.12479166666666666,1,18344.148428574961,13057.560803013866,9314.284471230696,13071.442798950187,-0.0010620094621410781,1
0.12680555555555556,0,8888.027185496092,5657.0058893709484,3593.8898413793759,5651.7776506032269,0.00092506094381894499,1
0.12680555555555556,0.5,10721.90659783615,7081.3490618035767,4680.2783607867959,7083.8906990600663,-0.00035879114521442101,1
0.12680555555555556,1,18115.685093667413,12877.273907518758,9172.1978644056962,12890.331575579519,-0.0010129815501020989,1
0.12881944444444443,0,8761.9821152150398,5570.7505311236373,3534.7018445672338,5565.1589685035697,0.0010047444559468932,1
0.12881944444444443,0.5,10568.354421532496,6971.2855774547788,4601.3107391932217,6973.3982171820389,-0.00030295698904081458,1
0.12881944444444443,1,17885.969917010341,12696.451349404373,9029.9916959053644,12708.664753773959,-0.00096102970738598525,1
0.13083333333333333,0,8630.8366568346919,5481.2123547215133,3473.3971910828636,5475.2464602558875,0.0010896120401029386,1
0.13083333333333333,0.5,10410.023791296557,6858.0834319455262,4520.2762226166242,6859.7509445074747,-0.00024308645830406483,1
0.13083333333333333,1,17653.52228645339,12513.982527134123,8886.8333336078449,12525.330746564858,-0.00090602153830121601,1
0.13284722222222223,0,8494.2777689784707,5388.1942542653887,3409.8525735731114,5381.8430775335792,0.0011801118390690757,1
