k,P0_AA,P0_AB,P0_BB,P2_AA,P2_AB,P2_BB,P4_AA,P4_AB,P4_BB
0.09256944444444444,16466.173155107554,11293.506420438127,7770.7536383926736,7846.2882014680135,6389.9258271035651,5110.8790499881334,567.11140529731711,491.05215108970378,432.8089475930899
0.094583333333333325,15926.587798266282,10905.933260694259,7492.0011648767431,7638.8066707277194,6200.1018080686581,4945.0832555504794,567.60625817358004,488.28289665358807,427.15234349924617
0.096597222222222209,15427.111668017891,10547.062828581997,7233.8047724968956,7448.3003601377604,6025.3950864709886,4792.2518121864032,568.59600821359254,486.1326234926978,422.22927975896732
0.098611111111111108,14968.698141330533,10217.506885527357,6996.5548826587392,7274.1975888359157,5865.4143006973381,4652.1105165297704,569.94681195669091,484.48139118412337,417.93633845213799
0.10062499999999999,14551.867734532654,9917.5747185926975,6780.4301959450158,7115.7789341892922,5719.6387860208933,4524.2762994878985,571.53014529040865,483.2122927177038,414.17105050278246
0.10263888888888888,14175.365417241792,9646.3289064114288,6584.732195464092,6971.834034224903,5587.0859264957544,4407.957437391522,573.23819710951739,482.22064550062032,410.83440793394448
0.10465277777777778,13837.107808034216,9402.2514957171061,6408.3546690634394,6840.9465590289419,5466.5751894937375,4302.1850467735658,574.9775540847977,481.41166719581634,407.83266772524985
0.10666666666666666,13534.579375364498,9183.526535192188,6249.9856022392578,6721.6588312640361,5356.8743530068023,4205.9383666289486,576.67326371617855,480.70576177752787,405.08379168312433
0.10868055555555554,13264.119697499056,8987.5439967850725,6107.7611846240488,6612.3656604961288,5256.5810414847765,4118.0304889708423,578.28678354199792,480.05266333696068,402.52721901313441
0.11069444444444444,13021.908827845702,8811.5845059017847,5979.7425266435748,6511.4942381784085,5164.3074286275587,4037.2790897175864,579.79226388450297,479.41313083640284,400.1114521575571
0.11270833333333333,12803.910587375609,8652.787739910098,5863.8992748318842,6417.5890151315562,5078.7435563925492,3962.554650273988,581.19036747812515,478.77181054078892,397.80556990865534
0.11472222222222221,12605.762840431424,8508.0786220863047,5758.0599563499718,6329.3327190758064,4998.6671665962485,3892.7841982335949,582.51433510709967,478.14274985478323,395.60387413094861
0.11673611111111111,12423.129666215213,8374.4015170252314,5660.0674404007241,6245.4980675968463,4922.9208041304901,3826.9414030443686,583.80581506537419,477.54810841986728,393.50798908473644
0.11874999999999999,12251.970562843577,8248.9191830401505,5567.925998949835,6165.1026438418176,4850.5466280978726,3764.1613271455017,585.11818378879207,477.02321424902561,391.53323320933464
0.12076388888888888,12088.574573775917,8129.0377739333462,5479.8196237941647,6087.4218315895123,4780.798091509072,3703.7506245354061,586.51426613076728,476.61492704022453,389.70751136937747
0.12277777777777778,11929.300867075255,8012.2116942904086,5393.9654643731301,6011.8139264243891,4712.9889484997584,3645.0594970026659,588.05962224709219,476.37353707000921,388.06222801285355
0.12479166666666666,11771.151715024464,7896.3513444439322,5308.9046035887968,5937.869592211845,4646.64061724782,3587.6164747102193,589.81203726894137,476.34588115556471,386.62911298763117
0.12680555555555556,11612.036993398575,7780.0112914265119,5223.6362124417064,5865.4599133982856,4581.535298816163,3531.1800296128622,591.8135179656274,476.56924457273317,385.43618284225886
0.12881944444444443,11449.958935112805,7661.8091533312418,5137.2024742242002,5794.5082608612756,4517.4949037718725,3475.5383299701084,594.1034672709568,477.07962126180814,384.51095717916849
0.13083333333333333,11283.391452109028,7540.691203943079,5048.874960518755,5725.0383543137305,4454.4399249406079,3420.568628680689,596.71030666117304,477.90493017320068,383.8758042303466
0.13284722222222223,11112.133572245399,7416.5316145480829,4958.5763062068745,5657.2752384323812,4392.5179584621656,3366.3691232596884,599.6310152727774,479.04817362774133,383.5360735035996
0.1348611111111111,10936.219615944308,7289.3678813959777,4866.3426996723374,5591.4694333869284,4331.9080461635613,3313.0696007202218,602.85450148007521,480.50581950575031,383.49226861375951
0.136875,10755.753506690737,7159.2838754400727,4772.2411610576019,5527.8637027018294,4272.7860246873752,3260.7988709873284,606.3657634215042,482.270942938247,383.74207613606904
0.1388888888888889,10571.670908972439,7026.9375624183385,4676.7356201730172,5466.7102365198498,4215.3836139617943,3209.759304533758,610.13199637946991,484.31980198941142,384.26971174435505
0.14090277777777779,10385.411177660008,6893.3349353474969,4580.5309079513927,5408.2461315660112,4159.9526626210936,3160.1889155229273,614.10979633544412,486.61812659746647,385.05069409232931
0.14291666666666666,10198.394718083035,6759.4685587178719,4484.3223393638964,5352.6709412899991,4106.7178605407826,3112.3060871321518,618.2552654512574,489.13048315167453,386.05911879712369
0.14493055555555556,10012.053059316502,6626.3349044740789,4388.8052191802381,5300.1092855534271,4055.8499638004687,3066.2899276611452,622.5227620998312,491.81827051044866,387.26541310155937
0.14694444444444446,9827.9242620058285,6494.9934515505402,4294.7108235754686,5250.5397769099072,4007.417436854123,3022.24648755102,626.86255775420068,494.63583538963587,388.63203062425077
0.14895833333333333,9647.5487206814032,6366.5041537536435,4202.7699746364187,5203.8858497414576,3961.450650867499,2980.2554543031079,631.22620744619871,497.53709266127112,390.1202054424632
0.15097222222222223,9472.4349121364794,6241.9057960348564,4113.699517550227,5160.0325540962076,3917.9528488464948,2940.3775392896632,635.56772140470571,500.47687273897043,391.69125496074196
0.15298611111111113,9303.7910582058721,6122.0238478451192,4028.0644268940755,5118.7616640084416,3876.8332986294381,2902.5916949145012,639.84216873145942,503.40952979837709,393.30463678363753
0.155,9142.3148938587965,6007.3200085147637,3946.1698949999391,5079.7142162048076,3837.8644148208468,2866.7526849154565,644.00432913912687,506.28807662731413,394.91688186238036
0.1570138888888889,8988.6402669170166,5898.2119404442592,3868.290734526056,5042.5038973644914,3800.7964431077771,2832.6977069360823,648.01114811853495,509.06662090573866,396.48491628441218
0.1590277777777778,8843.3838022836972,5795.1066777933456,3794.6953450011133,5006.7271937696441,3765.3681396701377,2800.2565312529714,651.82214185051248,511.70063120603822,397.9663434361164
0.16104166666666667,8706.8330739228204,5698.1838443566803,3725.4946849231405,4971.9928989364134,3731.3085556428896,2769.2392910258141,655.40938261414476,514.15694312069297,399.32808521458139
0.16305555555555556,8578.6907547448754,5607.2177409970172,3660.5182834668472,4937.9627998998167,3698.3499571180678,2739.4344077814317,658.76542225197841,516.42230844095889,400.55408692717003
0.16506944444444446,8458.6014824357953,5521.9432920314466,3599.5689354474321,4904.3124878955568,3666.2316782174667,2710.6335290609172,661.88608667278027,518.48650693521267,401.63088379280293
0.16708333333333333,8346.2150174449671,5442.0998796182066,3542.4531848903298,4870.7254656864779,3634.6996775381499,2682.6338298900228,664.76832899997748,520.34021065078286,402.54575171163344
0.16909722222222223,8241.1009847783553,5367.3749404502341,3488.944087391872,4836.9576064500152,3603.5492290721731,2655.2665223009467,667.41981629402949,521.9844223211993,403.29524279243458
0.1711111111111111,8142.5426050127917,5297.2674530839213,3438.6910390629423,4803.0013865000001,3572.7340088195992,2628.4698740457297,669.88240799430764,523.45383129453899,403.90643369853308
0.173125,8049.7733621907664,5231.2441796428566,3391.3226667710105,4768.9182635505349,3542.2550516270476,2602.2148980904922,672.2053280172463,524.7908361381709,404.41363603814875
0.1751388888888889,7962.0430219719819,5168.7833712644679,3346.4757043288996,4734.7924162013669,3512.1302688963647,2576.4850930251678,674.43767211024897,526.03830879441489,404.85192506345925
0.17715277777777777,7878.6206774211314,5109.3771854689658,3303.7968882901573,4700.7337473905063,3482.3968220019178,2551.2783362357441,676.62725811229006,527.23880114355643,405.25659762885903
0.17916666666666667,7798.8133916157931,5052.5480906483817,3262.9567968128067,4666.9018535783234,3453.1292499969236,2526.6209598779428,678.80774933007638,528.42522601161261,405.65642369842124
0.18118055555555557,7721.9564968192653,4997.8406339338644,3223.6430625573448,4633.4931105677269,3424.4291985961499,2502.559502869291,681.00106151747218,529.62250285740834,406.07473970623755
0.18319444444444444,7647.3984242123888,4944.8078933590868,3185.548831572703,4600.7195648585057,3396.4093651779599,2479.1481955632762,683.22690334757795,530.85446896024098,406.53445078593279
0.18520833333333334,7574.5025988790821,4893.0128050309158,3148.373698411101,4568.8099291242943,3369.1944419407964,2456.449800508085,685.50273604046538,532.14390265763973,407.05809382686982
0.18722222222222223,7502.6988555439066,4842.0643429895163,3111.8492170679151,4538.0005205731786,3342.918009456524,2434.535805922274,687.84124978326986,533.51005480688298,407.66569298822594
0.1892361111111111,7431.6817353110973,4791.7567738539874,3075.8368842731784,4508.4887905966707,3317.7019814098671,2413.4807646037789,690.24177115404791,534.95952699351096,408.36645885748896
0.19125,7361.2291938783146,4741.9421938238993,3040.2383491973014,4480.4593301729119,3293.6637072055037,2393.3591690490925,692.69888903905826,536.49465560249598,409.16604590828194
0.1932638888888889,7291.1221508096269,4692.4740488173338,3004.9556871453051,4454.0997633492225,3270.9223042257186,2374.2463961484459,695.20608240369552,538.11723333237308,410.06988108826545
0.19527777777777777,7221.1458395663758,4643.208140864087,2969.8921507487635,4429.6016915159953,3249.5995064218823,2356.2194452025014,697.75558733487492,539.82844108453764,411.0831408777056
0.19729166666666667,7151.1467271412048,4594.0402789685031,2934.977016050465,4407.0943987152896,3229.7747479984937,2339.3263394942005,700.33234128279537,541.62202592705819,412.20413295853325
0.19930555555555557,7081.2062588186782,4545.0209025263894,2900.2409935503019,4386.4265435374855,3211.3364528273769,2323.4842555451473,702.89563905548857,543.46300722906051,413.40333669466941
0.20131944444444444,7011.4602319535952,4496.2358664649746,2865.7377669924526,4367.3647742640442,3194.11660924328,2308.5712987813777,705.39847258313807,545.30895336137996,414.64382535096433
0.20333333333333334,6942.0360053857839,4447.7649930923199,2831.5167084108311,4349.6659401094939,3177.9397788344208,2294.4599684915579,707.79430941396345,547.11753499544841,415.88856117932437
0.20534722222222224,6873.052065758131,4399.6817664588498,2797.6226619183271,4333.0770929443888,3162.6230642460268,2281.0171104351302,710.03725500912014,548.84664102146508,417.10047743751841
0.20736111111111111,6804.6258318803975,4352.0589069701819,2764.0999418733063,4317.3428627359663,3147.9824366634857,2268.1091972251829,712.08661181269213,550.45794820719209,418.24529830217142
0.20937500000000001,6736.9302546606032,4305.00890447038,2731.0214720327895,4302.2567781075722,3133.8769227376806,2255.6393099293305,713.93686679791131,551.94046180750456,419.31019322490556
0.2113888888888889,6670.1634219717762,4258.6626583458074,2698.4737021306282,4287.6359062562424,3120.1864370032163,2243.5284183784352,715.60010953474921,553.29671514774213,420.29285426590667
0.21340277777777777,6604.5188202397276,4213.1483122408117,2666.5414796607647,4273.2953122775352,3106.7896080601677,2231.696721432254,717.09055166118424,554.53059646275938,421.19183465499884
0.21541666666666667,6540.1839622029129,4168.5902529104014,2635.307317362568,4259.0476046149633,3093.5633018794124,2220.063192883827,718.42471398515795,555.64747516770854,422.00662861314515
0.21743055555555557,6477.3385947834413,4125.1078410636756,2604.8504916169491,4244.7037239792799,3080.3830358928826,2208.5457685639103,719.62175051372401,556.6544734734756,422.7378899329766
0.21944444444444444,6416.1048502751391,4082.781947999933,2575.2245973789722,4230.1394920709181,3067.1682405227957,2197.092225776531,720.7065294629765,557.56520581661084,423.39259857585267
0.22145833333333334,6356.5195846059696,4041.6365633163855,2546.4453430205012,4215.3435945568162,3053.9153483157943,2185.7030867573358,721.71047625720848,558.40216586007762,423.98702944806939
0.22347222222222224,6298.614056023911,4001.6923281999279,2518.5264882104752,4200.3189676121328,3040.6309368823486,2174.3861463725361,722.66620560051888,559.18910770363084,424.53865932833213
0.22548611111111111,6242.4214321117915,3962.9715347825299,2491.4831666978871,4185.0721378885901,3027.3244137447205,2163.1514297042831,723.60710808149543,559.95035229326311,425.06538994811359
0.22750000000000001,6187.9762205746101,3925.4977059658809,2465.3315757734517,4169.6130466500663,3014.0078299870925,2152.0110131644319,724.56745856969314,560.71086746815911,425.58560504850811
0.22951388888888891,6135.3092168613193,3889.2920361670203,2440.0864613962704,4153.9550910494881,3000.6954557602239,2140.9783971235061,725.58135977289544,561.49553156285458,426.11764171268993
0.23152777777777778,6084.3632356741673,3854.3142846667838,2415.7195391646605,4138.11742050864,2987.3979580952728,2130.059053882484,726.66093232905632,562.31380843034606,426.66876491728084
0.23354166666666668,6035.0025088275634,3820.4691490860296,2392.1638256310125,4122.123679784796,2974.1221785187081,2119.2507331285224,727.7972725610141,563.16043482247005,427.23568279564131
0.23555555555555557,5987.0915592752344,3787.6614487248089,2369.3523602113492,4105.9991839933828,2960.876001830155,2108.5518148840802,728.97997901356939,564.02915099172969,427.81443825042095
0.23756944444444444,5940.4984397810931,3755.798398972559,2347.2198073771592,4089.7707455595023,2947.66852088836,2097.9616325027041,730.19782323418792,564.91316656586218,428.40074204150488
0.23958333333333334,5895.0949681772427,3724.7897821112051,2325.7025811243348,4073.4665617451574,2934.5099811315986,2087.4804515369287,731.43867547322202,565.80510139231569,428.9899268075622
0.24159722222222221,5850.7572200493323,3694.5483229496031,2304.7391299187507,4057.1163069777535,2921.4118885826015,2077.1095799158138,732.68934041121565,566.69686460834782,429.576859383829
0.24361111111111111,5807.3731303356853,3664.9957017512688,2284.2746279342905,4040.7574605223067,2908.3920650865698,2066.8554262446219,733.93287963097896,567.57783864274779,430.15473223622371
0.24562500000000001,5764.8411802976098,3636.0616446124495,2264.2603428859557,4024.4356090830306,2895.4747788666341,2056.7295336456864,735.14883042635336,568.43507759756778,430.71523284051841
0.24763888888888888,5723.0608768880529,3607.6764520453798,2244.647843261982,4008.1970235880517,2882.6847918253079,2046.7437880921896,736.31644556057495,569.25552624297279,431.25003694490061
0.24965277777777778,5681.9327947841612,3579.7710007771675,2225.3889813437681,3992.0883265734101,2870.0471385123124,2036.9102696132818,737.41475187555454,570.02604964794295,431.750821218564
0.25166666666666665,5641.3590938947491,3552.2771218367707,2206.4361698231887,3976.1565134193725,2857.587189339547,2027.2413330338552,738.4224406907681,570.73334650642596,432.20919673820174
0.25368055555555552,5601.2439863221143,3525.127941667959,2187.742631306663,3960.4489164273959,2845.3306679600937,2017.7496522057181,739.31777219362357,571.36387094932843,432.61664729840879
0.25569444444444445,5561.5151706715751,3498.2728446841916,2169.2728662685727,3945.0057141364746,2833.3000692309929,2008.4469119016164,740.08336951012598,571.90690741206856,432.96653480530199
0.25770833333333332,5522.1744825057531,3471.712850898396,2151.0274178074469,3929.8416933032809,2821.5058448016002,1999.3404923023452,740.71868572800815,572.36262803710019,433.25938982708982
0.25972222222222219,5483.2382530508194,3445.4590935140532,2133.0139010558078,3914.9667240568829,2809.9561817163544,1990.4370360029939,741.22745495033541,572.73404665206795,433.49765937295598
0.26173611111111111,5444.7213018250295,3419.5216668956914,2115.2392167177563,3900.3915202989383,2798.659804432456,1981.7435229430034,741.61408241875131,573.02469751959711,433.6841890294653
0.26374999999999998,5406.6371017423771,3393.9097447091644,2097.7096356001593,3886.1277741270751,2787.6260814360785,1973.2673540103647,741.88361429751922,573.23861594435868,433.82221104151807
0.26576388888888891,5368.9979350593476,3368.6316913848746,2080.4308782730691,3872.1882756878681,2776.8651207199791,1965.0164261566852,742.04170748606327,573.3803185696753,433.91533191473053
0.26777777777777778,5331.815156776961,3343.6952433928604,2063.4082399398517,3858.5868514574213,2766.3877448729959,1956.9991277158101,742.09465059025854,573.45481396117373,433.96753744416759
0.26979166666666665,5295.1085310690723,3319.1136512149651,2046.6506250417719,3845.3252031796424,2756.1968866813663,1949.218727190055,742.05329036103842,573.46993395806385,433.98454233263726
0.27180555555555558,5258.9132194997073,3294.9103402966357,2030.1736563271488,3832.3832329746992,2746.2812596110907,1941.6692476943249,741.93569071139507,573.43786101990997,433.97463200870084
0.27381944444444445,5223.2655491053356,3271.1096134029176,2013.9936150629296,3819.7396321574402,2736.6288290602238,1934.3442644176512,741.76081446710373,573.3713316679673,433.94642816060548
0.27583333333333332,5188.2012503024744,3247.735479308255,1998.1266623818178,3807.3742153689341,2727.2283267124499,1927.2378823640602,741.54789111876744,573.28327242997284,433.90868700724076
0.27784722222222225,5153.755263015425,3224.8115094687728,1982.5887332272678,3795.2680327200956,2718.0693132893784,1920.3447680589582,741.31645732795255,573.18683797863639,433.87033268359289
0.27986111111111112,5119.9615680536835,3202.3607131025065,1967.3954437535538,3783.4034958573707,2709.1422536678729,1913.6601919007692,741.08638659602309,573.09544164804129,433.84048533685575
0.28187499999999999,5086.8529561801497,3180.4053678066675,1952.5619669342225,3771.7644660742708,2700.4385589277963,1907.1800426277528,740.87788063630092,573.02275745276791,433.82846780126295
0.28388888888888891,5054.4385430280308,3158.9508712465472,1938.0914094709476,3760.3235026839416,2691.9393305595145,1900.8912312855982,740.70419796164595,572.97722803926183,433.83958778888376
0.28590277777777778,5022.6747554384474,3137.9648510459365,1923.9597395887822,3749.0237242865805,2683.599598429465,1894.758396751369,740.56155335368521,572.95441283727428,433.86925220240471
0.28791666666666665,4991.5114067940322,3117.4101805672572,1910.1395000294201,3737.8035343052934,2675.3703456876469,1888.7427956894601,740.44334058516654,572.94772771412056,433.91121909957178
0.28993055555555558,4960.8991249143237,3097.2503068108463,1896.6036384366405,3726.6007996345897,2667.2022042339222,1882.8054568000034,740.34256719934001,572.95028488941011,433.95901110055098
0.29194444444444445,4930.7892171402136,3077.4491539465116,1883.3254382793421,3715.3528392188041,2659.0454381596774,1876.9071629640773,740.25189469697557,572.95492344550189,434.00593823458502
0.29395833333333332,4901.1335466188075,3057.9710349496213,1870.2784556494346,3703.9964214714528,2650.8499343540052,1871.0084391327482,740.16367457796537,572.95423697595561,434.04511883499526
0.29597222222222225,4871.884419205232,3038.7805709089298,1857.4364616131352,3692.4677692363989,2642.5651992856779,1865.0695452074676,740.06998025154701,572.94059834635777,434.069498436809
0.29798611111111112,4842.9963897688685,3019.8441264740777,1844.7745706689375,3680.7083019667107,2634.144679699084,1859.0537344892432,739.96295712666858,572.90660005708094,434.0723099839546
0.29999999999999999,4814.4448187020907,3001.1444588806617,1832.2806954314156,3668.7203623857913,2625.5877628509243,1852.9589723770018,739.8380235932633,572.84917573319808,434.05142507816345
